series,timestamp,value,label
s1,2023-01-22T13:59:26Z,984,
s1,2023-01-22T13:59:27Z,984,
s1,2023-01-22T13:59:28Z,984,
s1,2023-01-22T13:59:29Z,984,
s1,2023-01-22T13:59:30Z,984,
s1,2023-01-22T13:59:31Z,984,
s1,2023-01-22T13:59:32Z,984,
s1,2023-01-22T13:59:33Z,984,
s1,2023-01-22T13:59:34Z,984,
s1,2023-01-22T13:59:35Z,984,
s1,2023-01-22T13:59:36Z,984,
s1,2023-01-22T13:59:37Z,984,
s1,2023-01-22T13:59:38Z,984,
s1,2023-01-22T13:59:39Z,984,
s1,2023-01-22T13:59:40Z,984,
s1,2023-01-22T13:59:41Z,984,
s1,2023-01-22T13:59:42Z,984,
s1,2023-01-22T13:59:43Z,984,
s1,2023-01-22T13:59:44Z,984,
s1,2023-01-22T13:59:45Z,984,
s1,2023-01-22T13:59:46Z,984,
s1,2023-01-22T13:59:47Z,984,
s1,2023-01-22T13:59:48Z,984,
s1,2023-01-22T13:59:49Z,984,
s1,2023-01-22T13:59:50Z,984,
s1,2023-01-22T13:59:51Z,984,
s1,2023-01-22T13:59:52Z,984,
s1,2023-01-22T13:59:53Z,984,
s1,2023-01-22T13:59:54Z,984,
s1,2023-01-22T13:59:55Z,984,
s1,2023-01-22T13:59:56Z,984,
s1,2023-01-22T13:59:57Z,984,
s1,2023-01-22T13:59:58Z,984,
s1,2023-01-22T13:59:59Z,984,
s1,2023-01-22T14:00:00Z,984,
s1,2023-01-22T14:00:01Z,984,
s1,2023-01-22T14:00:02Z,984,
s1,2023-01-22T14:00:03Z,984,
s1,2023-01-22T14:00:04Z,984,
s1,2023-01-22T14:00:05Z,984,
s1,2023-01-22T14:00:06Z,984,
s1,2023-01-22T14:00:07Z,985,
s1,2023-01-22T14:00:08Z,985,
s1,2023-01-22T14:00:09Z,984,
s1,2023-01-22T14:00:10Z,983,
s1,2023-01-22T14:00:11Z,981,
s1,2023-01-22T14:00:12Z,979,
s1,2023-01-22T14:00:13Z,976,
s1,2023-01-22T14:00:14Z,972,
s1,2023-01-22T14:00:15Z,968,
s1,2023-01-22T14:00:16Z,966,
s1,2023-01-22T14:00:17Z,963,
s1,2023-01-22T14:00:18Z,960,
s1,2023-01-22T14:00:19Z,958,
s1,2023-01-22T14:00:20Z,956,
